material,material_display,family,memristor_label,target,bandgap_eV,is_metal,defect_trap_score,ion_migration_score,air_stability_score,thermal_stability_score,fabrication_score,stm_evidence_score,surface_order_score,encapsulation_need_score,evidence_note
MoO3,MoO3,2D oxide,high,1,0.46153846153846156,0.0,0.8545454545454544,0.9166666666666667,0.6666666666666666,0.6166666666666667,0.5454545454545454,0.5192307692307693,0.3255813953488373,0.35294117647058826,Oxide chemistry and oxygen-vacancy dynamics are favorable for memristive switching.
WO3,WO3,2D oxide,high,1,0.43076923076923074,0.0,0.8181818181818182,0.95,0.6933333333333334,0.6833333333333335,0.5454545454545454,0.4615384615384615,0.2790697674418605,0.29411764705882354,Oxygen vacancy and ion insertion mechanisms are relevant for switching.
V2O5,V2O5,2D oxide,high,1,0.3538461538461538,0.0,0.7818181818181819,1.0,0.6,0.5500000000000002,0.5090909090909091,0.326923076923077,0.2325581395348837,0.38823529411764707,Vanadium oxide redox and ion transport can support memristive behavior.
HfO2 ultrathin,HfO2 ultrathin,ultrathin oxide,high,1,0.8769230769230769,0.0,0.7272727272727273,0.8833333333333334,1.0,0.9166666666666667,0.8727272727272728,0.13461538461538464,0.13953488372093012,0.05882352941176471,Benchmark RRAM oxide; included as an ultrathin oxide reference rather than a canonical vdW crystal.
Al2O3 ultrathin,Al2O3 ultrathin,ultrathin oxide,medium,0,1.0,0.0,0.6363636363636362,0.6666666666666667,1.0,0.9166666666666667,0.7636363636363636,0.03846153846153849,0.06976744186046518,0.03529411764705882,"Stable dielectric with resistive switching reports, but high bandgap can require larger voltage."
SnS2,SnS2,2D chalcogenide,medium,0,0.3384615384615385,0.0,0.4909090909090909,0.33333333333333337,0.6933333333333334,0.5500000000000002,0.5454545454545454,0.3846153846153845,0.37209302325581406,0.29411764705882354,Layered semiconductor with moderate stability.
SnSe,SnSe,2D chalcogenide,medium,0,0.15384615384615385,0.0,0.4181818181818181,0.3166666666666667,0.46666666666666673,0.4166666666666667,0.4,0.2692307692307693,0.2325581395348837,0.4705882352941177,Layered chalcogenide with stability concerns.
GeSe,GeSe,2D chalcogenide,medium,0,0.1846153846153846,0.0,0.3636363636363637,0.2833333333333333,0.5066666666666666,0.4166666666666667,0.3636363636363636,0.23076923076923075,0.18604651162790692,0.43529411764705883,Anisotropic layered semiconductor; memristor evidence less direct.
InSe,InSe,2D chalcogenide,medium,0,0.2,0.0,0.3636363636363637,0.25000000000000006,0.5599999999999999,0.45000000000000007,0.4545454545454546,0.3846153846153845,0.4186046511627906,0.35294117647058826,Layered semiconductor with transport interest.
GaSe,GaSe,2D chalcogenide,medium,0,0.3076923076923077,0.0,0.30909090909090914,0.21666666666666667,0.5333333333333333,0.4166666666666667,0.4,0.2692307692307693,0.3255813953488373,0.38823529411764707,Layered semiconductor; ambient and contact issues remain.
Bi2O2Se,Bi2O2Se,2D oxide selenide,medium,0,0.12307692307692308,0.0,0.3636363636363637,0.33333333333333337,0.8266666666666665,0.7166666666666668,0.5454545454545454,0.326923076923077,0.4186046511627906,0.15294117647058825,Air-stable 2D semiconductor more often used in transistors/optoelectronics.
ReS2,ReS2,transition metal dichalcogenide,medium,0,0.23076923076923078,0.0,0.4909090909090909,0.33333333333333337,0.7733333333333334,0.6166666666666667,0.5090909090909091,0.4615384615384615,0.5116279069767442,0.23529411764705885,Defect-rich anisotropic TMD with possible switching relevance.
PtSe2,PtSe2,transition metal dichalcogenide,low,0,0.06153846153846154,0.0,0.27272727272727276,0.21666666666666667,0.7733333333333334,0.7166666666666668,0.5454545454545454,0.326923076923077,0.4651162790697674,0.17647058823529416,Often semimetallic at larger thickness; less suitable as insulating switching layer.
TaS2,TaS2,metallic layered material,low,0,0.0,1.0,0.3636363636363637,0.16666666666666663,0.6933333333333334,0.6666666666666667,0.4727272727272728,0.5192307692307693,0.5348837209302326,0.23529411764705885,"Charge-density-wave physics is interesting, but metallic behavior is a risk for standalone RRAM layers."
NbSe2,NbSe2,metallic layered material,low,0,0.0,1.0,0.18181818181818185,0.08333333333333331,0.6933333333333334,0.6166666666666667,0.4545454545454546,0.5192307692307693,0.5348837209302326,0.23529411764705885,Metallic/superconducting behavior makes high-resistance switching less direct.
CrI3,CrI3,2D magnetic halide,low,0,0.1846153846153846,0.0,0.3636363636363637,0.16666666666666663,0.0,0.0,0.0,0.326923076923077,0.2325581395348837,1.0,Air-sensitive magnetic material; device integration is challenging.
PdSe2,PdSe2,2D chalcogenide,medium,0,0.16923076923076924,0.0,0.4181818181818181,0.2833333333333333,0.7733333333333334,0.6833333333333335,0.5454545454545454,0.2692307692307693,0.37209302325581406,0.19999999999999998,Relatively stable layered semiconductor; memristor data not yet as direct.
ZnO monolayer,ZnO monolayer,2D oxide,medium,0,0.5076923076923077,0.0,0.5454545454545455,0.5000000000000001,0.9066666666666666,0.7833333333333333,0.4,0.07692307692307689,0.06976744186046518,0.08235294117647059,"Oxide vacancy physics is relevant, but high-quality 2D growth can be challenging."
NiO ultrathin,NiO ultrathin,ultrathin oxide,high,1,0.5538461538461539,0.0,0.7818181818181819,0.8833333333333334,0.9333333333333332,0.8333333333333334,0.690909090909091,0.07692307692307689,0.06976744186046518,0.08235294117647059,Classic oxide memristor reference included for mechanism transfer.
CuO ultrathin,CuO ultrathin,ultrathin oxide,high,1,0.26153846153846155,0.0,0.7272727272727273,0.9166666666666667,0.7733333333333334,0.6166666666666667,0.5818181818181818,0.0,0.0,0.17647058823529416,Redox-active oxide reference for vacancy/ion migration switching.
MoO2,MoO2,2D/ultrathin oxide,low,0,0.03076923076923077,1.0,0.45454545454545453,0.7833333333333333,0.6933333333333334,0.6833333333333335,0.4727272727272728,0.13461538461538464,0.13953488372093012,0.19999999999999998,Metallic oxide reference; useful electrode-like behavior but risky as switching dielectric.
